case_id,health_profile,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
change_events-fact_recall-30-0000,change_events,0.3,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-30-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-30-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-30-0000""}",[],73892,73793,9131b5a410f2a264
change_events-needle_position-30-0001,change_events,0.3,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-30-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-30-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-30-0001""}",[],73892,73733,3517d64395b82e66
change_events-multi_hop-30-0002,change_events,0.3,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-30-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-30-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-30-0002"", ""SLOT-CHANGE_EVENTS-30-0002"", ""ROUTINE-CHANGE_EVENTS-30-0002""]}",[],73892,73890,cfceb01114987693
change_events-instruction_following-30-0003,change_events,0.3,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-30-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-30-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-30-0003-NO-MEDICAL-ADVICE""}",[],73892,73739,27518d977929e2cc
change_events-distractor_resistance-30-0004,change_events,0.3,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-30-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-30-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-30-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-30-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-30-0004-CURRUN""]",73892,73889,e23c88bf98835b2a
change_events-fact_recall-50-0000,change_events,0.5,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-50-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-50-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-50-0000""}",[],123154,122815,dede5073b964b083
change_events-needle_position-50-0001,change_events,0.5,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-50-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-50-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-50-0001""}",[],123154,122780,442ea14a2c64cc40
change_events-multi_hop-50-0002,change_events,0.5,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-50-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-50-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-50-0002"", ""SLOT-CHANGE_EVENTS-50-0002"", ""ROUTINE-CHANGE_EVENTS-50-0002""]}",[],123154,123142,084ee09835d890a3
change_events-instruction_following-50-0003,change_events,0.5,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-50-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-50-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-50-0003-NO-MEDICAL-ADVICE""}",[],123154,122825,f0cb45dcf8de4f8e
change_events-distractor_resistance-50-0004,change_events,0.5,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-50-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-50-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-50-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-50-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-50-0004-CURRUN""]",123154,123098,2312b5f1e52fb105
