case_id,health_profile,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
habits-fact_recall-30-0000,habits,0.3,fact_recall,0,0.05,HABITS-FACT_RECALL-30-0000-AMRUN,"{""answer"": ""HABITS-FACT_RECALL-30-0000-AMRUN"", ""evidence_id"": ""HEALTH-HABIT-30-0000""}",[],73892,73670,15cc3458089f2661
habits-needle_position-30-0001,habits,0.3,needle_position,1,0.05,HABITS-NEEDLE_POSITION-30-0001-AMRUN,"{""answer"": ""HABITS-NEEDLE_POSITION-30-0001-AMRUN"", ""evidence_id"": ""HEALTH-NEEDLE-30-0001""}",[],73892,73703,fef84400b337485f
habits-multi_hop-30-0002,habits,0.3,multi_hop,2,,HABITS-MULTI_HOP-30-0002-AMRUN,"{""answer"": ""HABITS-MULTI_HOP-30-0002-AMRUN"", ""chain"": [""PLAN-HABITS-30-0002"", ""SLOT-HABITS-30-0002"", ""ROUTINE-HABITS-30-0002""]}",[],73892,73889,d0026e492637f177
habits-instruction_following-30-0003,habits,0.3,instruction_following,3,0.1,HABITS-INSTRUCTION_FOLLOWING-30-0003-AMRUN,"{""answer"": ""HABITS-INSTRUCTION_FOLLOWING-30-0003-AMRUN"", ""safety_phrase"": ""HEALTH-RULE-30-0003-NO-MEDICAL-ADVICE""}",[],73892,73678,b56039354b14dc8b
habits-distractor_resistance-30-0004,habits,0.3,distractor_resistance,4,0.84,HABITS-DISTRACTOR_RESISTANCE-30-0004-AMRUN,"{""answer"": ""HABITS-DISTRACTOR_RESISTANCE-30-0004-AMRUN"", ""evidence_id"": ""HEALTH-CURRENT-30-0004""}","[""OLD-HABITS-DISTRACTOR_RESISTANCE-30-0004-AMRUN"", ""RELATED-HABITS-DISTRACTOR_RESISTANCE-30-0004-AMRUN""]",73892,73891,e439e3e813a311f7
habits-fact_recall-30-0005,habits,0.3,fact_recall,5,0.25,HABITS-FACT_RECALL-30-0005-Z2BIKE,"{""answer"": ""HABITS-FACT_RECALL-30-0005-Z2BIKE"", ""evidence_id"": ""HEALTH-HABIT-30-0005""}",[],73892,73797,5faa9701b0a23d97
habits-needle_position-30-0006,habits,0.3,needle_position,6,0.25,HABITS-NEEDLE_POSITION-30-0006-Z2BIKE,"{""answer"": ""HABITS-NEEDLE_POSITION-30-0006-Z2BIKE"", ""evidence_id"": ""HEALTH-NEEDLE-30-0006""}",[],73892,73766,169cd032e6dbd1d9
habits-multi_hop-30-0007,habits,0.3,multi_hop,7,,HABITS-MULTI_HOP-30-0007-Z2BIKE,"{""answer"": ""HABITS-MULTI_HOP-30-0007-Z2BIKE"", ""chain"": [""PLAN-HABITS-30-0007"", ""SLOT-HABITS-30-0007"", ""ROUTINE-HABITS-30-0007""]}",[],73892,73889,edac10a33cddb93f
habits-instruction_following-30-0008,habits,0.3,instruction_following,8,0.5,HABITS-INSTRUCTION_FOLLOWING-30-0008-Z2BIKE,"{""answer"": ""HABITS-INSTRUCTION_FOLLOWING-30-0008-Z2BIKE"", ""safety_phrase"": ""HEALTH-RULE-30-0008-NO-MEDICAL-ADVICE""}",[],73892,73867,4e379c05b993001d
habits-distractor_resistance-30-0009,habits,0.3,distractor_resistance,9,0.84,HABITS-DISTRACTOR_RESISTANCE-30-0009-Z2BIKE,"{""answer"": ""HABITS-DISTRACTOR_RESISTANCE-30-0009-Z2BIKE"", ""evidence_id"": ""HEALTH-CURRENT-30-0009""}","[""OLD-HABITS-DISTRACTOR_RESISTANCE-30-0009-Z2BIKE"", ""RELATED-HABITS-DISTRACTOR_RESISTANCE-30-0009-Z2BIKE""]",73892,73892,da93fc659ff3dbd5
habits-fact_recall-30-0010,habits,0.3,fact_recall,10,0.5,HABITS-FACT_RECALL-30-0010-YOGA,"{""answer"": ""HABITS-FACT_RECALL-30-0010-YOGA"", ""evidence_id"": ""HEALTH-HABIT-30-0010""}",[],73892,73809,40d1ac825bceb8d1
habits-needle_position-30-0011,habits,0.3,needle_position,11,0.5,HABITS-NEEDLE_POSITION-30-0011-YOGA,"{""answer"": ""HABITS-NEEDLE_POSITION-30-0011-YOGA"", ""evidence_id"": ""HEALTH-NEEDLE-30-0011""}",[],73892,73831,fc74819ac4a21020
habits-multi_hop-30-0012,habits,0.3,multi_hop,12,,HABITS-MULTI_HOP-30-0012-YOGA,"{""answer"": ""HABITS-MULTI_HOP-30-0012-YOGA"", ""chain"": [""PLAN-HABITS-30-0012"", ""SLOT-HABITS-30-0012"", ""ROUTINE-HABITS-30-0012""]}",[],73892,73890,0da1a5f7f3b1bfec
habits-instruction_following-30-0013,habits,0.3,instruction_following,13,0.85,HABITS-INSTRUCTION_FOLLOWING-30-0013-YOGA,"{""answer"": ""HABITS-INSTRUCTION_FOLLOWING-30-0013-YOGA"", ""safety_phrase"": ""HEALTH-RULE-30-0013-NO-MEDICAL-ADVICE""}",[],73892,73891,67c28d00ffdc990e
habits-distractor_resistance-30-0014,habits,0.3,distractor_resistance,14,0.84,HABITS-DISTRACTOR_RESISTANCE-30-0014-YOGA,"{""answer"": ""HABITS-DISTRACTOR_RESISTANCE-30-0014-YOGA"", ""evidence_id"": ""HEALTH-CURRENT-30-0014""}","[""OLD-HABITS-DISTRACTOR_RESISTANCE-30-0014-YOGA"", ""RELATED-HABITS-DISTRACTOR_RESISTANCE-30-0014-YOGA""]",73892,73889,aa216c965e25b516
habits-fact_recall-30-0015,habits,0.3,fact_recall,15,0.75,HABITS-FACT_RECALL-30-0015-MEALPREP,"{""answer"": ""HABITS-FACT_RECALL-30-0015-MEALPREP"", ""evidence_id"": ""HEALTH-HABIT-30-0015""}",[],73892,73885,27684c2dc3b26f3a
habits-needle_position-30-0016,habits,0.3,needle_position,16,0.75,HABITS-NEEDLE_POSITION-30-0016-MEALPREP,"{""answer"": ""HABITS-NEEDLE_POSITION-30-0016-MEALPREP"", ""evidence_id"": ""HEALTH-NEEDLE-30-0016""}",[],73892,73872,2a5275eff5b521ce
habits-multi_hop-30-0017,habits,0.3,multi_hop,17,,HABITS-MULTI_HOP-30-0017-MEALPREP,"{""answer"": ""HABITS-MULTI_HOP-30-0017-MEALPREP"", ""chain"": [""PLAN-HABITS-30-0017"", ""SLOT-HABITS-30-0017"", ""ROUTINE-HABITS-30-0017""]}",[],73892,73890,b24c468394f75e04
habits-instruction_following-30-0018,habits,0.3,instruction_following,18,0.1,HABITS-INSTRUCTION_FOLLOWING-30-0018-MEALPREP,"{""answer"": ""HABITS-INSTRUCTION_FOLLOWING-30-0018-MEALPREP"", ""safety_phrase"": ""HEALTH-RULE-30-0018-NO-MEDICAL-ADVICE""}",[],73892,73747,eade6321e5974f4c
habits-distractor_resistance-30-0019,habits,0.3,distractor_resistance,19,0.84,HABITS-DISTRACTOR_RESISTANCE-30-0019-MEALPREP,"{""answer"": ""HABITS-DISTRACTOR_RESISTANCE-30-0019-MEALPREP"", ""evidence_id"": ""HEALTH-CURRENT-30-0019""}","[""OLD-HABITS-DISTRACTOR_RESISTANCE-30-0019-MEALPREP"", ""RELATED-HABITS-DISTRACTOR_RESISTANCE-30-0019-MEALPREP""]",73892,73890,086a115d655fdb71
habits-fact_recall-30-0020,habits,0.3,fact_recall,20,0.95,HABITS-FACT_RECALL-30-0020-SLEEPLOCK,"{""answer"": ""HABITS-FACT_RECALL-30-0020-SLEEPLOCK"", ""evidence_id"": ""HEALTH-HABIT-30-0020""}",[],73892,73892,8ac71a8cf0e71bd4
