case_id,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
fact_recall-30-0000,0.3,fact_recall,0,0.05,FR-30-0000-KAPPA,"{""answer"": ""FR-30-0000-KAPPA"", ""evidence_id"": ""FACT-30-0000""}",[],73892,73516,e3723b68254fe599
needle_position-30-0001,0.3,needle_position,1,0.05,ND-30-0001-ORCHID,"{""answer"": ""ND-30-0001-ORCHID"", ""evidence_id"": ""NEEDLE-30-0001""}",[],73892,73514,a9374f8a505f1430
multi_hop-30-0002,0.3,multi_hop,2,,Reviewer-30-0002-LYRA,"{""answer"": ""Reviewer-30-0002-LYRA"", ""chain"": [""Person-30-0002"", ""Project-30-0002"", ""Track-30-0002""]}",[],73892,73891,8f4910ce82478354
instruction_following-30-0003,0.3,instruction_following,3,0.1,OK-30-0003,"{""answer"": ""OK-30-0003"", ""safety_phrase"": ""RULE-30-0003-NO-COMPRESS""}",[],73892,73558,e294af8bb1fe9e5e
distractor_resistance-30-0004,0.3,distractor_resistance,4,0.82,Owner-30-0004-NOVA,"{""answer"": ""Owner-30-0004-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-30-0004""}","[""Owner-30-0004-MIRA"", ""Owner-30-0004-SOL""]",73892,73862,90f0c52d28c53bbe
fact_recall-30-0005,0.3,fact_recall,5,0.25,FR-30-0005-KAPPA,"{""answer"": ""FR-30-0005-KAPPA"", ""evidence_id"": ""FACT-30-0005""}",[],73892,73608,38760e19a3bc54f3
needle_position-30-0006,0.3,needle_position,6,0.25,ND-30-0006-ORCHID,"{""answer"": ""ND-30-0006-ORCHID"", ""evidence_id"": ""NEEDLE-30-0006""}",[],73892,73637,455403c44cb89b24
multi_hop-30-0007,0.3,multi_hop,7,,Reviewer-30-0007-LYRA,"{""answer"": ""Reviewer-30-0007-LYRA"", ""chain"": [""Person-30-0007"", ""Project-30-0007"", ""Track-30-0007""]}",[],73892,73878,597b9dfc6918a69d
instruction_following-30-0008,0.3,instruction_following,8,0.5,OK-30-0008,"{""answer"": ""OK-30-0008"", ""safety_phrase"": ""RULE-30-0008-NO-COMPRESS""}",[],73892,73707,2479737934ba3a47
distractor_resistance-30-0009,0.3,distractor_resistance,9,0.82,Owner-30-0009-NOVA,"{""answer"": ""Owner-30-0009-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-30-0009""}","[""Owner-30-0009-MIRA"", ""Owner-30-0009-SOL""]",73892,73866,5377efee6830b6e0
fact_recall-30-0010,0.3,fact_recall,10,0.5,FR-30-0010-KAPPA,"{""answer"": ""FR-30-0010-KAPPA"", ""evidence_id"": ""FACT-30-0010""}",[],73892,73699,580167a8e421250f
needle_position-30-0011,0.3,needle_position,11,0.5,ND-30-0011-ORCHID,"{""answer"": ""ND-30-0011-ORCHID"", ""evidence_id"": ""NEEDLE-30-0011""}",[],73892,73694,43ba204fab1238aa
multi_hop-30-0012,0.3,multi_hop,12,,Reviewer-30-0012-LYRA,"{""answer"": ""Reviewer-30-0012-LYRA"", ""chain"": [""Person-30-0012"", ""Project-30-0012"", ""Track-30-0012""]}",[],73892,73891,7609a28baa4ac3a8
instruction_following-30-0013,0.3,instruction_following,13,0.85,OK-30-0013,"{""answer"": ""OK-30-0013"", ""safety_phrase"": ""RULE-30-0013-NO-COMPRESS""}",[],73892,73833,c941d3b09958a932
distractor_resistance-30-0014,0.3,distractor_resistance,14,0.82,Owner-30-0014-NOVA,"{""answer"": ""Owner-30-0014-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-30-0014""}","[""Owner-30-0014-MIRA"", ""Owner-30-0014-SOL""]",73892,73824,31464a7728fb0a04
fact_recall-30-0015,0.3,fact_recall,15,0.75,FR-30-0015-KAPPA,"{""answer"": ""FR-30-0015-KAPPA"", ""evidence_id"": ""FACT-30-0015""}",[],73892,73798,66c18f92de194f36
needle_position-30-0016,0.3,needle_position,16,0.75,ND-30-0016-ORCHID,"{""answer"": ""ND-30-0016-ORCHID"", ""evidence_id"": ""NEEDLE-30-0016""}",[],73892,73799,37558160bf8b287c
multi_hop-30-0017,0.3,multi_hop,17,,Reviewer-30-0017-LYRA,"{""answer"": ""Reviewer-30-0017-LYRA"", ""chain"": [""Person-30-0017"", ""Project-30-0017"", ""Track-30-0017""]}",[],73892,73890,52e01f1d93448e89
instruction_following-30-0018,0.3,instruction_following,18,0.1,OK-30-0018,"{""answer"": ""OK-30-0018"", ""safety_phrase"": ""RULE-30-0018-NO-COMPRESS""}",[],73892,73532,134a21d48374308f
distractor_resistance-30-0019,0.3,distractor_resistance,19,0.82,Owner-30-0019-NOVA,"{""answer"": ""Owner-30-0019-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-30-0019""}","[""Owner-30-0019-MIRA"", ""Owner-30-0019-SOL""]",73892,73848,499d755c134fc6ef
fact_recall-30-0020,0.3,fact_recall,20,0.95,FR-30-0020-KAPPA,"{""answer"": ""FR-30-0020-KAPPA"", ""evidence_id"": ""FACT-30-0020""}",[],73892,73885,65d8ff0d14b8f575
needle_position-30-0021,0.3,needle_position,21,0.95,ND-30-0021-ORCHID,"{""answer"": ""ND-30-0021-ORCHID"", ""evidence_id"": ""NEEDLE-30-0021""}",[],73892,73868,077d6ea94e3866df
multi_hop-30-0022,0.3,multi_hop,22,,Reviewer-30-0022-LYRA,"{""answer"": ""Reviewer-30-0022-LYRA"", ""chain"": [""Person-30-0022"", ""Project-30-0022"", ""Track-30-0022""]}",[],73892,73890,d6d28811dadd95c3
instruction_following-30-0023,0.3,instruction_following,23,0.5,OK-30-0023,"{""answer"": ""OK-30-0023"", ""safety_phrase"": ""RULE-30-0023-NO-COMPRESS""}",[],73892,73688,980dada62b348bf1
distractor_resistance-30-0024,0.3,distractor_resistance,24,0.82,Owner-30-0024-NOVA,"{""answer"": ""Owner-30-0024-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-30-0024""}","[""Owner-30-0024-MIRA"", ""Owner-30-0024-SOL""]",73892,73841,a86946d8c1a6589c
fact_recall-50-0000,0.5,fact_recall,0,0.05,FR-50-0000-KAPPA,"{""answer"": ""FR-50-0000-KAPPA"", ""evidence_id"": ""FACT-50-0000""}",[],123154,122535,306f7ad6d74ce838
needle_position-50-0001,0.5,needle_position,1,0.05,ND-50-0001-ORCHID,"{""answer"": ""ND-50-0001-ORCHID"", ""evidence_id"": ""NEEDLE-50-0001""}",[],123154,122527,e5ca853bab1d7ae0
multi_hop-50-0002,0.5,multi_hop,2,,Reviewer-50-0002-LYRA,"{""answer"": ""Reviewer-50-0002-LYRA"", ""chain"": [""Person-50-0002"", ""Project-50-0002"", ""Track-50-0002""]}",[],123154,123148,737d4910542ad7bb
instruction_following-50-0003,0.5,instruction_following,3,0.1,OK-50-0003,"{""answer"": ""OK-50-0003"", ""safety_phrase"": ""RULE-50-0003-NO-COMPRESS""}",[],123154,122543,b51b0b34266ae761
