case_id,health_profile,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
safety_preferences-fact_recall-30-0000,safety_preferences,0.3,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-30-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-30-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-30-0000""}",[],73892,73728,1c051ff176890e0f
safety_preferences-needle_position-30-0001,safety_preferences,0.3,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-30-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-30-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-30-0001""}",[],73892,73708,03608ba26605de56
safety_preferences-multi_hop-30-0002,safety_preferences,0.3,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-30-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-30-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-30-0002"", ""SLOT-SAFETY_PREFERENCES-30-0002"", ""ROUTINE-SAFETY_PREFERENCES-30-0002""]}",[],73892,73889,29a1bf70c0f4fdb8
safety_preferences-instruction_following-30-0003,safety_preferences,0.3,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-30-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-30-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-30-0003-NO-MEDICAL-ADVICE""}",[],73892,73689,a5a5c7594ab00262
safety_preferences-distractor_resistance-30-0004,safety_preferences,0.3,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-30-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-30-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-30-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-30-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-30-0004-KNEELOW""]",73892,73890,55382f67e4911091
safety_preferences-fact_recall-50-0000,safety_preferences,0.5,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-50-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-50-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-50-0000""}",[],123154,122852,50b09d0192b95b80
safety_preferences-needle_position-50-0001,safety_preferences,0.5,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-50-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-50-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-50-0001""}",[],123154,122784,2b374decd7232c96
safety_preferences-multi_hop-50-0002,safety_preferences,0.5,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-50-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-50-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-50-0002"", ""SLOT-SAFETY_PREFERENCES-50-0002"", ""ROUTINE-SAFETY_PREFERENCES-50-0002""]}",[],123154,123152,92621d9e16366cb8
safety_preferences-instruction_following-50-0003,safety_preferences,0.5,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-50-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-50-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-50-0003-NO-MEDICAL-ADVICE""}",[],123154,122860,c15f2d187ca68ce2
safety_preferences-distractor_resistance-50-0004,safety_preferences,0.5,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-50-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-50-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-50-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-50-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-50-0004-KNEELOW""]",123154,123115,e4f8d07493802596
